x,y
-47.23356889,2.914517
-47.22690219,-1.037629
-47.22023549,-9.063996
-47.21356879,-1.144444
-47.20690209,-5.279702
-47.20023539,-4.730369
-47.19356869,-14.37422
-47.18690199,-0.3967406
-47.18023529,-2.273629
-47.17356859,-6.836146
-47.16690189,-2.014221
-47.16023519,0.6408886
-47.15356849,-1.312296
-47.14690179,-3.87585
-47.14023509,-0.183111
-47.13356839,1.525925
-47.12690169,-1.739555
-47.12023499,3.982665
-47.11356829,-2.014221
-47.10690159,-5.371257
-47.10023489,0.7629627
-47.09356819,0.07629627
-47.08690149,-1.098666
-47.08023479,-1.419111
-47.07356809,2.700888
-47.06690139,-0.9155552
-47.06023469,0.839259
-47.05356799,0.0
-47.04690129,-4.562517
-47.0402346,2.471999
-47.0335679,-0.8697774
-47.0269012,-0.03051851
-47.0202345,-1.556444
-47.0135678,-2.502518
-47.0069011,-3.051851
-47.0002344,3.189184
-46.9935677,-1.815851
-46.986901,-0.07629627
-46.9802343,1.205481
-46.9735676,-1.617481
-46.9669009,-0.1678518
-46.9602342,0.7171849
-46.9535675,-4.150517
-46.9469008,-2.059999
-46.9402341,1.602222
-46.9335674,2.395703
-46.9269007,0.5340739
-46.920234,-0.7934812
-46.9135673,-2.594073
-46.9069006,-0.6256294
-46.9002339,0.8850367
-46.8935672,7.37022
-46.8869005,-1.785333
-46.8802338,-0.1525925
-46.8735671,5.447554
-46.8669004,-0.1373333
-46.8602337,2.182073
-46.853567,5.615406
-46.8469003,-2.883999
-46.8402336,-1.709036
-46.8335669,0.7477034
-46.8269002,2.212592
-46.8202335,-0.8850367
-46.8135668,-3.982665
-46.8069001,-4.440443
-46.8002334,0.9765922
-46.7935667,0.5645924
-46.7869,-3.433332
-46.7802333,-3.997925
-46.7735666,0.5340739
-46.7668999,-1.892147
-46.7602332,-4.730369
-46.7535665,-3.89111
-46.7468998,-3.524888
-46.7402331,-3.631702
-46.7335664,0.6256294
-46.7268997,-0.3967406
-46.720233,-5.52385
-46.7135663,-5.645924
-46.7068996,-2.899258
-46.7002329,1.953184
-46.6935662,-4.943998
-46.6868995,-5.066072
-46.6802328,-3.112888
-46.6735661,-3.250221
-46.6668994,-1.678518
-46.6602327,-7.400738
-46.653566,-3.418073
-46.6468993,-1.297037
-46.6402326,-2.975554
-46.6335659,0.2136296
-46.6268992,-1.510666
-46.6202325,-0.183111
-46.6135658,-1.113926
-46.6068991,-0.3051851
-46.6002324,0.3204443
-46.5935657,-0.9918515
-46.586899,-1.251259
-46.5802323,-3.921628
-46.5735656,-1.373333
-46.5668989,1.84637
-46.5602322,0.6256294
-46.5535655,-1.953184
-46.5468988,0.6408886
-46.5402321,2.075258
-46.5335654,-1.937925
-46.5268987,-1.785333
-46.520232,-0.6866664
-46.5135653,-2.075258
-46.5068986,0.7324442
-46.5002319,2.716147
-46.4935652,0.7324442
-46.4868985,-0.3051851
-46.4802318,-0.03051851
-46.4735651,-1.266518
-46.4668984,-2.471999
-46.4602317,1.922666
-46.453565,-2.746666
-46.4468983,-2.975554
-46.4402316,0.839259
-46.43356491,-0.09155552
-46.42689821,-1.312296
-46.42023151,-4.119998
-46.41356481,-1.190222
-46.40689811,-2.24311
-46.40023141,-0.03051851
-46.39356471,-1.571703
-46.38689801,0.2746666
-46.38023131,-3.87585
-46.37356461,-0.3204443
-46.36689791,-1.892147
-46.36023121,-5.691702
-46.35356451,-0.9155552
-46.34689781,-0.3967406
-46.34023111,-0.3814813
-46.33356441,-0.6408886
-46.32689771,-4.638813
-46.32023101,-4.577776
-46.31356431,-1.480148
-46.30689761,0.3509628
-46.30023091,1.84637
-46.29356421,-3.433332
-46.28689751,-3.402814
-46.28023081,-2.716147
-46.27356411,-1.464888
-46.26689741,-0.9918515
-46.26023071,-6.103702
-46.25356401,-3.799554
-46.24689731,-0.5035554
-46.24023061,-1.327555
-46.23356391,-1.02237
-46.22689721,-4.058961
-46.22023051,-3.46385
-46.21356381,-1.937925
-46.20689711,-1.236
-46.20023041,-1.251259
-46.19356371,-1.617481
-46.18689701,-0.900296
-46.18023031,-1.83111
-46.17356361,-1.297037
-46.16689691,0.5493332
-46.16023021,-3.234962
-46.15356351,-0.06103702
-46.14689681,-1.083407
-46.14023011,-1.297037
-46.13356341,0.961333
-46.12689671,-1.83111
-46.12023001,-5.294961
-46.11356331,0.1678518
-46.10689661,-2.182073
-46.10022991,0.04577776
-46.09356321,-0.1983703
-46.08689651,-1.342814
-46.08022981,0.6408886
-46.07356311,0.3662221
-46.06689641,3.433332
-46.06022971,-0.2136296
-46.05356301,0.5493332
-46.04689631,-4.28785
-46.04022961,2.258369
-46.03356291,1.358074
-46.02689621,-2.258369
-46.02022951,-0.8697774
-46.01356281,0.1525925
-46.00689611,-2.380444
-46.00022941,-1.388592
-45.99356271,1.281777
-45.98689601,-2.899258
-45.98022931,0.2441481
-45.97356261,1.83111
-45.96689591,-0.2136296
-45.96022921,-0.8697774
-45.95356251,-1.22074
-45.94689581,-0.5798516
-45.94022911,2.883999
-45.93356241,-3.219702
-45.92689571,-1.373333
-45.92022901,-1.663259
-45.91356231,-2.822962
-45.90689561,-2.487258
-45.90022891,-0.06103702
-45.89356221,-1.373333
-45.88689551,-0.8697774
-45.88022881,-2.136296
-45.87356211,-1.800592
-45.86689541,-5.966368
-45.86022871,-0.9765922
-45.85356201,-3.555406
-45.84689531,-1.464888
-45.84022861,0.7171849
-45.83356191,-5.630665
-45.82689522,-2.471999
-45.82022852,-2.777184
-45.81356182,0.03051851
-45.80689512,-2.975554
-45.80022842,-3.051851
-45.79356172,-1.709036
-45.78689502,-4.730369
-45.78022832,-1.998962
-45.77356162,-1.83111
-45.76689492,-4.654072
-45.76022822,-1.495407
-45.75356152,-2.517777
-45.74689482,1.358074
-45.74022812,-0.7171849
-45.73356142,-2.609332
-45.72689472,-0.9308145
-45.72022802,1.663259
-45.71356132,-1.480148
-45.70689462,-0.8697774
-45.70022792,2.914517
-45.69356122,-4.150517
-45.68689452,-0.900296
-45.68022782,-0.839259
-45.67356112,-2.395703
-45.66689442,-5.066072
-45.66022772,0.04577776
-45.65356102,-2.349925
-45.64689432,-1.541185
-45.64022762,2.594073
-45.63356092,-3.707999
-45.62689422,1.43437
-45.62022752,2.365184
-45.61356082,0.4882961
-45.60689412,1.84637
-45.60022742,-0.9765922
-45.59356072,-0.7171849
-45.58689402,0.6103702
-45.58022732,-1.663259
-45.57356062,0.7019257
-45.56689392,0.8545182
-45.56022722,-6.775109
